"Agency","Program","Population","County","Units/Beds","Occupied","Open","Contact"
"Sussex Interfaith Hospitality Network","SCIHN-Interfaith Hospitality Network-Sussex","SF+HC=Single Females and Households with Children","SUSSEX","14","3","11","Carrie Radice:: 973 579 - 1180"
"The Apostle's House","The Apostles' House Avon Ave. TH Essex","SF+HC=Single Females and Households with Children","ESSEX","15","5","11","Norma Spencer:: 973 375 - 7447"
"The Apostle's House","The Apostles' House Emergency Shelter Essex","SF+HC=Single Females and Households with Children","ESSEX","35","22","4","Patrice Burkett:: 973 482 - 8865"
"The Apostle's House","The Apostles House SPlusC Essex","SMF+HC=Single Male and Female and Households with Children","ESSEX","8","7","1","973 482 - 0625"
"The Center in Asbury Park Inc. Monmouth","Center House Asbury Park Permanent Supportive Housing Monmouth","SMF=Single Males and Females 18 years and older","MONMOUTH","25","23","2","Steve Albert:: 732 774 - 3416 ex20"
"The Michael's Organization","TMO-Roosevelt Manor-Camden","SMF+HC=Single Male and Female and Households with Children","CAMDEN","22","12","0","Olivette Beaton:: 856 203 - 7566"
"The Restoration Center","TRC-Veteran SRO-Essex","SM=Single Males 18 years and older","ESSEX","10","10","0","Gwen Parks:: 973 622 - 4934"
"The Restoration Center","TRC-Men On A Mission-Essex","SM=Single Males 18 years and older","ESSEX","97","77","20","Gwen Parks:: 973 622 - 4934"
"Transitional Housing Services Inc","THSI TH Burlington","SMF+HC=Single Male and Female and Households with Children","BURLINGTON","4","2","0","609 261 - 4585"
"Transitional Housing Services Inc","THSI Project III PSH Burlington","SMF+HC=Single Male and Female and Households with Children","BURLINGTON","4","3","1","Diane Baird:: 609 261 - 4585"
"Transitional Housing Services Inc","EA THSI Transitional Housing Burlington","SMF+HC=Single Male and Female and Households with Children","BURLINGTON","88","95","7","Diane Baird:: 609 261 - 4585"
"Transitional Housing Services Inc","THSI 10 E. Federal Permanent Supportive Housing Burlington","SM=Single Males 18 years and older","BURLINGTON","3","3","0","609 261 - 4585"
"Tri","TCPC-Homelessness Prevention-Essex","SMF=Single Males and Females 18 years and older","ESSEX","10","0","10","Dave Henry:: 973 676 - 5506"
"Tri","TCCAP-TH- Gloucester","HC=Households with Children","GLOUCESTER","3","2","2","856 423 - 0040"
"Tri","TCCAP -TH- Cumberland","HC=Households with Children","CUMBERLAND","3","2","0","Denise Todd-Hampton:: 856 451 - 6330"
"Triple C Housing","TripleC-H2O SHP-Middlesex","SF=Single Females 18 years and older","MIDDLESEX","3","3","0","Kimberly Ewell:: 609 655 - 3950"
"Turning Point Community Services Inc.","TPCS - Transitional Housing - Essex","HC=Households with Children","ESSEX","11","11","0","Christine McCloud:: 973 374 - 8772"
"Turning Point Community Services Inc.","TPCS - Servant's House - Essex","HC=Households with Children","ESSEX","71","20","52","Christine McCloud:: 973 374 - 7838"
"Twin Oaks Community Services","TOCS-Family Service Haven-Burlington","SMF=Single Males and Females 18 years and older","BURLINGTON","10","9","0","Wendie Hill:: 609 267 - 5928"
"Twin Oaks Community Services","Ormond Associates - Choice Housing","SMF=Single Males and Females 18 years and older","CAMDEN","5","5","0","Pat Smith:: 856 428 - 1300"
"UBHC UMDNJ","UBHC-SH Shelter Plus Care-Middlesex","SMF+HC=Single Male and Female and Households with Children","MIDDLESEX","10","9","0","Robert Gauthier:: 732 235 - 5353"
"UMDNJ","UMDNJ Housing With a Heart Camden","SMF=Single Males and Females 18 years and older","CAMDEN","46","42","4","Jonathan Olatubosun:: 856 874 - 0008"
"United Community Corporation","UCC Shelter Essex","SMF=Single Males and Females 18 years and older","ESSEX","60","45","20","Linda Reynolds:: 973 286 - 3162"
"United Progress Inc","UPI - Housing Program - Mercer","SM=Single Males 18 years and older","MERCER","22","17","5","Harold Williams:: 609 392 - 2822"
"United Way of Hudson","United Way Collaborative Solutions - Hudson","SMF=Single Males and Females 18 years and older","HUDSON","26","26","0","Temi Bamgboshe:: 201 434 - 2625"
"Urban Renewal Corp","URC-689 So 16th-Essex","SMF=Single Males and Females 18 years and older","ESSEX","110","89","26","Ernestine Childs:: 973 483 - 2882"
"Urban Renewal Corp","URC-12 Myrtle House-Essex","SF=Single Females 18 years and older","ESSEX","21","4","5","Ernestine Childs:: 973 483 - 2882"
"Urban Renewal Corp","URC-521 Washington-Essex","SMF=Single Males and Females 18 years and older","ESSEX","48","13","41","Ernestine Childs:: 973 483 - 2882"
"Urban Renewal Corp","URC-Shelter Plus Care-Essex","SMF=Single Males and Females 18 years and older","ESSEX","3","3","0","Ernestine Childs:: 973 483 - 2882"
"Urban Renewal Corp","URC-446 Eastern Parkway-Essex","SMF=Single Males and Females 18 years and older","ESSEX","37","6","7","Ernestine Childs:: 973 483 - 2882"
"Urban Renewal Corp","URC-224 Sussex-Essex","SMF=Single Males and Females 18 years and older","ESSEX","240","148","87","Charlie Bethea:: 973 483 - 2882"
"VOADV","VOADV-Christine's Corner-Camden","HC=Households with Children","CAMDEN","7","7","0",
"VOADV","VOADV- Aletha Wright- Emergency Shelter Camden","SM=Single Males 18 years and older","CAMDEN","50","50","10","Tamika Levels:: 856 966 - 0909"
"VOADV","VOADV-Aletha Wright Safe Haven-Camden","SM=Single Males 18 years and older","CAMDEN","25","18","7","Tamika Levels:: 856 966 - 0909"
"VOADV","VOADV-Aletha Wright Transitional Living-Camden","SM=Single Males 18 years and older","CAMDEN","24","17","8","Tamika Levels:: 856 966 - 0909"
"VOADV","VOADV-Anna Sample Safe Haven 2-Camden","SF=Single Females 18 years and older","CAMDEN","4","4","0","Tamika Levels:: 856 854 - 4660"
"VOADV","VOADV-Anna Sample Safe Haven-Camden","SF=Single Females 18 years and older","CAMDEN","4","2","2","Tamika Levels:: 856 963 - 0430"
"VOADV","VOADV-Anna Sample Transitional Living-Camden","HC=Households with Children","CAMDEN","20","18","6","Tamika Levels:: 856 963 - 0430"
"VOADV","VOADV-CC Supportive Services-Camden","SMF=Single Males and Females 18 years and older","CAMDEN","16","13","3","James Wynn:: 856 966 - 0909"
"VOADV","VOADV-Anna Sample Family Shelter-Camden","HC=Households with Children","CAMDEN","65","58","18","Tamika Levels:: 856 963 - 0430"
"VOADV","VOADV-Eleanor Corbett Emergency Shelter - Gloucester","HC=Households with Children","GLOUCESTER","50","46","8","Tamika Levels:: 856 881 - 5550"
"VOADV","VOADV-Eleanor Corbett Safe Haven 2-Gloucester","SF=Single Females 18 years and older","GLOUCESTER","4","4","0","Tamika Levels:: 856 881 - 5550"
"VOADV","VOADV-Eleanor Corbett Safe Haven-Gloucester","SF=Single Females 18 years and older","GLOUCESTER","4","4","0","Tamika Levels:: 856 881 - 5550"
"VOADV","VOADV-Escher Street Supportive Services-Mercer","SMF=Single Males and Females 18 years and older","MERCER","93","81","11","Rakima Carter:: 609 278 - 3535"
"VOADV","VOADV-Amani House Transitional Living-Mercer","SM=Single Males 18 years and older","MERCER","25","22","4","Sheriff Massaquoi:: 609 393 - 3168"
"VOADV Property Inc. Camden","VOADV Property PROMISE Program","SMF=Single Males and Females 18 years and older","CAMDEN","12","6","6","856 854 - 4660"
"VOADV","VOADV - Chance II - Somerset","SMF=Single Males and Females 18 years and older","SOMERSET","18","18","0","Olubukola Thomas:: 908 526 - 7202"
"VOADV","VOADV - Agape House - Somerset","HC=Households with Children","SOMERSET","60","38","30","Stephanie Williams:: 908 707 - 9753"
"Volunteers of America","VOA-GNY Enhanced Supportive Housing -Union","SMF=Single Males and Females 18 years and older","UNION","8","1","0","Kimberley Higgs:: 732 827 - 2453"
"Warren County Div of Temporary Assistance  Social Services","WC SPC Warren","SMF+HC=Single Male and Female and Households with Children","WARREN","5","6","0","Domenica Stabp:: 908 475 - 6218"
"WomenRising","WR-Project Home-Hudson","HC=Households with Children","HUDSON","18","17","2","Anne Christensen:: 201 309 - 4663"
"YMCA of Eastern Union County","Eastern Union YMCA - Men's Dormitory - Union","SM=Single Males 18 years and older","UNION","69","33","36","Earnestine Brookins:: 908 355 - 9622"
"YMCA of Eastern Union County","Eastern Union YMCA - Madison House - Union","SMF+HC=Single Male and Female and Households with Children","UNION","36","24","12","Earnestine Brookins:: 908 355 - 9622"
"YMCA of Eastern Union County","Eastern Union YMCA - Step Up Transitional House - Union","SMF+HC=Single Male and Female and Households with Children","UNION","18","12","6","Earnestine Brookins:: 908 355 - 9622"
"YMCA of Eastern Union County","Eastern Union YMCA-Project Sustain-Union","SF+HC=Single Females and Households with Children","UNION","10","2","8","Earnestine Brookins:: 908 355 - 9622"
"YMCA of Eastern Union County","Eastern Union YMCA-PSH-Union","SMF=Single Males and Females 18 years and older","UNION","15","15","0","Earnestine Brookins:: 908 355 - 9622"
"YMCA of Plainfield","Plainfield Area YMCA - Y.E.S. Union","SMF+HC=Single Male and Female and Households with Children","UNION","51","34","17","Theresa McCoy:: 908 756 - 6060"
"YWCA of Trenton","Dunham Hall Residences - Mercer County","SF=Single Females 18 years and older","MERCER","22","19","3","Dodi Gershen:: 609 396 - 2413"
